Recommendation Number,Message,Result,Explanation,Time
1.1.1.1,cramfs cannot be mounted,PASS,"install /bin/true 
",0.05817055702209473
1.1.1.2,freevxfs cannot be mounted,PASS,"install /bin/true 
",0.04479074478149414
1.1.1.3,jffs2 cannot be mounted,PASS,"install /bin/true 
",0.044785499572753906
1.1.1.4,hfs cannot be mounted,PASS,"install /bin/true 
",0.03151130676269531
1.1.1.5,hfsplus cannot be mounted,PASS,"install /bin/true 
",0.05981016159057617
1.1.1.6,squashfs mount status undetermined,PASS,"

",0.04577350616455078
1.1.1.7,udf cannot be mounted,PASS,"install /bin/true 
",0.06582164764404297
1.1.1.8,vfat is mounted,CHEK,"UUID=C4E4-E7F8	/boot/efi	vfat	umask=0077	0 1
",0.019266128540039062
1.1.2,/tmp is configured,PASS,"tmpfs on /tmp type tmpfs (rw,nosuid,nodev)
",0.03764748573303223
1.1.3,nodev is set on /tmp,PASS,"mount | grep -E '\s/tmp\s' | grep -v nodev did not return anything
",0.07052206993103027
1.1.4,nosuid is set on /tmp,PASS,"mount | grep -E '\s/tmp\s' | grep -v nosuid did not return anything
",0.07199430465698242
1.1.5,noexec is not set on /tmp,FAIL,"mount | grep -E '\s/tmp\s' | grep -v noexec returned the following
tmpfs on /tmp type tmpfs (rw,nosuid,nodev)
",0.06926393508911133
1.1.6,/var is not configured,FAIL,mount | grep -E '\s/var\s' did not return any result,0.03574728965759277
1.1.7,/var/tmp is not configured,FAIL,mount | grep /var/tmp did not return any result,0.034615516662597656
1.1.8,nodev is not set on /var/tmp,FAIL,/var/tmp does not exist. nodev cannot be set on a partition that does not exist,0.03624773025512695
1.1.9,nodev is not set on /var/tmp,FAIL,/var/tmp does not exist. nosuid cannot be set on a partition that does not exist,0.03629708290100098
1.1.10,noexec is not set on /var/tmp,FAIL,/var/tmp does not exist. noexec cannot be set on a partition that does not exist,0.03563976287841797
1.1.11,/var/log is not configured,FAIL,mount | grep /var/log did not return any result,0.03477334976196289
1.1.12,/var/log/audit is not configured,FAIL,mount | grep /var/log/audit did not return any result,0.037938594818115234
1.1.13,/home is not configured,FAIL,mount | grep /home did not return any result,0.03359723091125488
1.1.14,nodev is not set on /home,FAIL,/home does not exist. nodev cannot be set on a partition that does not exist,0.030295848846435547
1.1.15,nodev is set on /dev/shm,PASS,mount | grep -E '\s/dev/shm\s' | grep -v nodev did not return anything,0.072723388671875
1.1.16,nosuid is set on /dev/shm,PASS,mount | grep -E '\s/dev/shm\s' | grep -v nosuid did not return anything,0.0807793140411377
1.1.17,noexec is set on /dev/shm,PASS,mount | grep -E '\s/dev/shm\s' | grep -v noexec did not return anything,0.07240533828735352
1.1.18,No mounted media found,PASS,mount | grep -e '/media/' returned no result,0.0354924201965332
1.1.19,No mounted media found,PASS,mount | grep -e '/media/' returned no result,0.04069161415100098
1.1.20,No mounted media found,PASS,mount | grep -e '/media/' returned no result,0.03901052474975586
